 mean_spb1 mean_nuc1 prob1 mean_spb2 mean_nuc2 prob2 mean_spb3 mean_nuc3 prob3 mean_spb4 mean_nuc4 prob4 mean_spb5 mean_nuc5 prob5 mean_spb6 mean_nuc6 prob6 mean_spb7 mean_nuc7 prob7 mean_spb8 mean_nuc8 prob8 mean_spb9 mean_nuc9 prob9 mean_spb10 mean_nuc10 prob10
384 1.3448345380885143 1.6736386068463391 0.1912568306010929 1.589327533825916 1.3710858781639579 0.3391192542590807 1.3155007128558935 2.3204163783323515 0.48312439729990353 1.5603546220375433 1.9091929743330904 0.6123432979749277 1.189327492634079 2.0158942440397176 0.7203471552555448 1.1492700256049877 1.3774370009260166 0.8257794921247187 0.9456814006946048 1.6347565685387555 0.9263902282224364 1.2950337892586723 0.9908458024744456 1.0 0.0 0.0 0.0 0.0 0.0 0.0
410 1.518181860228429 1.796612851843633 0.18401639344262294 1.2667133454859898 1.5793838950382226 0.3368852459016393 1.0912248507620832 1.9483241693797717 0.4868852459016393 1.5273626869674464 1.3393097263954838 0.6348360655737704 0.9668669282421042 1.573531877125755 0.7487704918032786 1.3406578233757485 2.1505315878205566 0.8401639344262294 1.0565751108797308 1.1922332434960587 0.9217213114754097 1.4179356328946504 0.941662508489134 0.9999999999999999 0.0 0.0 0.0 0.0 0.0 0.0
422 1.5159699261315516 1.9983681790944277 0.1614123581336696 1.5905430930639726 1.6617380488325144 0.3064312736443884 1.2923652133260446 1.750210414291531 0.4270701975620008 1.2769689690354895 1.4272798664824964 0.5363598150483396 1.064761735800396 1.9609660260932156 0.6401849516603615 1.3460572260180297 2.296499565957224 0.7276166456494325 0.9664135505305196 1.6342577474586728 0.8146279949558638 1.3401738137904944 1.0632667887432972 0.8827238335435057 1.6582976830704204 1.232300369828789 0.9503993274485079 0.9472965784446024 1.2221330283258791 1.0
443 1.4790809314597348 1.9727825336992693 0.17486338797814208 1.2056079632455765 2.1718968884498158 0.3055141579731744 1.5615603372331237 1.5330492943500924 0.4341778440139096 1.3124810832790144 1.382618920355958 0.561351217088922 1.2770071929262867 1.6855582344650923 0.6701440635866865 0.9776373579273924 1.5205282954435946 0.7734724292101341 1.1312025550706832 1.8551654987748465 0.8733233979135618 1.1252910728389485 1.0247897870310356 0.9384003974167908 1.574077392991238 1.0813140305710254 1.0 0.0 0.0 0.0
477 1.3950305556501168 1.7229693258976366 0.1885245901639344 1.14375004692032 1.9746287156929585 0.3239861949956859 1.3422454157421746 1.3705813930424433 0.44779982743744606 1.48875774488818 2.09899089028754 0.5681622088006902 1.6667177075591195 1.419958598838781 0.6846419327006039 1.0282619271800115 1.5794503045017718 0.7937877480586712 1.7192371754964657 1.817976214715993 0.8917169974115616 1.0470979534822389 1.085520258502236 0.952113891285591 1.50054126552791 0.9307438965529644 1.0 0.0 0.0 0.0
520 1.5348862333346998 1.8976574906854773 0.15703192407247626 1.5921948460739122 1.594747946027951 0.2927811331607708 1.306983382608276 1.6671678832615289 0.40465918895599656 1.5790287442950417 1.2611929199854417 0.5107851596203624 1.3278069930303011 2.1780047208701467 0.6068449813057234 1.2821213787144448 1.3507690843319007 0.6974403221167674 0.9749919938018228 1.5451967688022852 0.7845844118492955 1.484058197767345 0.9446882028823829 0.8596491228070176 1.1273623493911624 1.8603548563125407 0.9324129997123958 1.0698931442897637 1.069972597506206 1.0
557 1.4520815011618706 1.6316430303169742 0.14954834392773503 1.7305269182907743 1.4078814436664409 0.27701572432251587 1.1266246890466507 1.6811690385571514 0.40080294412847106 1.3432147265462904 1.3342887733196689 0.523921043827367 1.5904545827664354 1.0124136608199827 0.6403479424556708 1.252954168231887 2.0356711556543527 0.7480762796922048 1.1887880640047246 1.0240098949060896 0.8330545332887254 0.9463570175413965 1.3683814761866089 0.9173636667781866 1.6957529631803825 1.8698265915518515 0.9999999999999999 0.0 0.0 0.0
587 1.7309343381003457 1.646449490288652 0.16357012750455374 1.3737951500263714 1.611706102265928 0.3122040072859745 1.5911902068015396 1.323802015870864 0.4564663023679417 1.1394623929447645 1.8237176834285005 0.5912568306010929 1.2966666298220588 1.2850039724673394 0.7114754098360656 1.0193054616777435 1.430292679794703 0.82040072859745 1.508287308631202 2.0548109762115008 0.8961748633879781 1.512843980018875 0.9043285524490782 0.9653916211293261 1.0843323608372242 0.9533943594902756 1.0 0.0 0.0 0.0
611 1.7008285288550724 1.1403400116697768 0.16475409836065574 1.7470374279774878 1.57141116507568 0.32172131147540983 1.4534496453285426 1.4257356395550864 0.4778688524590164 1.137739566019259 1.5679205211824208 0.5926229508196721 1.4170492992375499 0.9224044471306678 0.7057377049180328 1.2738292026818168 1.2543791866303993 0.8180327868852459 1.444496447892444 1.8324284706797243 0.9213114754098362 1.0049904780333567 1.1419169279396657 1.0 0.0 0.0 0.0 0.0 0.0 0.0
656 1.3699509072746197 1.2179467050125579 0.2459016393442623 1.6260496636807042 1.052092044048431 0.4197714853452558 1.6566019045499232 1.4264707562406032 0.5822155986090412 1.1317384126258296 0.9126444294387376 0.6994535519125682 1.4205666764794511 0.8563361632886155 0.8137108792846497 1.000898061780072 1.246954801740352 0.9155489319423745 1.1707469493701053 1.5731132682594189 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
